pair_id,donor,recipient,role,donor_prompt,recipient_prompt,token_len,donor_token_id,recipient_token_id,donor_token_string,recipient_token_string,subject_span_positions,first_role_positions,second_role_positions,final_position,tokens,token_ids
scientist_Einstein_into_Newton,Einstein,Newton,scientist,Everyone knows Einstein was a celebrated scientist. The scientist was,Everyone knows Newton was a celebrated scientist. The scientist was,11,54052,20668,ĠEinstein,ĠNewton,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
scientist_Einstein_into_Darwin,Einstein,Darwin,scientist,Everyone knows Einstein was a celebrated scientist. The scientist was,Everyone knows Darwin was a celebrated scientist. The scientist was,11,54052,44380,ĠEinstein,ĠDarwin,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Einstein"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 54052, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
scientist_Newton_into_Einstein,Newton,Einstein,scientist,Everyone knows Newton was a celebrated scientist. The scientist was,Everyone knows Einstein was a celebrated scientist. The scientist was,11,20668,54052,ĠNewton,ĠEinstein,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
scientist_Newton_into_Darwin,Newton,Darwin,scientist,Everyone knows Newton was a celebrated scientist. The scientist was,Everyone knows Darwin was a celebrated scientist. The scientist was,11,20668,44380,ĠNewton,ĠDarwin,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Newton"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 20668, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
scientist_Darwin_into_Einstein,Darwin,Einstein,scientist,Everyone knows Darwin was a celebrated scientist. The scientist was,Everyone knows Einstein was a celebrated scientist. The scientist was,11,44380,54052,ĠDarwin,ĠEinstein,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
scientist_Darwin_into_Newton,Darwin,Newton,scientist,Everyone knows Darwin was a celebrated scientist. The scientist was,Everyone knows Newton was a celebrated scientist. The scientist was,11,44380,20668,ĠDarwin,ĠNewton,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Darwin"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120scientist"", ""."", ""\u0120The"", ""\u0120scientist"", ""\u0120was""]","[33024, 8788, 44380, 572, 264, 27185, 27468, 13, 576, 27468, 572]"
composer_Mozart_into_Bach,Mozart,Bach,composer,Everyone knows Mozart was a celebrated composer. The composer was,Everyone knows Bach was a celebrated composer. The composer was,11,94669,41158,ĠMozart,ĠBach,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Mozart"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[33024, 8788, 94669, 572, 264, 27185, 39450, 13, 576, 39450, 572]"
composer_Bach_into_Mozart,Bach,Mozart,composer,Everyone knows Bach was a celebrated composer. The composer was,Everyone knows Mozart was a celebrated composer. The composer was,11,41158,94669,ĠBach,ĠMozart,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Bach"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120composer"", ""."", ""\u0120The"", ""\u0120composer"", ""\u0120was""]","[33024, 8788, 41158, 572, 264, 27185, 39450, 13, 576, 39450, 572]"
writer_Shakespeare_into_Dickens,Shakespeare,Dickens,writer,Everyone knows Shakespeare was a celebrated writer. The writer was,Everyone knows Dickens was a celebrated writer. The writer was,11,41382,92899,ĠShakespeare,ĠDickens,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Shakespeare"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[33024, 8788, 41382, 572, 264, 27185, 6916, 13, 576, 6916, 572]"
writer_Dickens_into_Shakespeare,Dickens,Shakespeare,writer,Everyone knows Dickens was a celebrated writer. The writer was,Everyone knows Shakespeare was a celebrated writer. The writer was,11,92899,41382,ĠDickens,ĠShakespeare,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Dickens"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120writer"", ""."", ""\u0120The"", ""\u0120writer"", ""\u0120was""]","[33024, 8788, 92899, 572, 264, 27185, 6916, 13, 576, 6916, 572]"
country_France_into_Japan,France,Japan,country,Everyone knows France was a celebrated country. The country was,Everyone knows Japan was a celebrated country. The country was,11,9625,6323,ĠFrance,ĠJapan,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120France"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[33024, 8788, 9625, 572, 264, 27185, 3146, 13, 576, 3146, 572]"
country_Japan_into_France,Japan,France,country,Everyone knows Japan was a celebrated country. The country was,Everyone knows France was a celebrated country. The country was,11,6323,9625,ĠJapan,ĠFrance,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Japan"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120country"", ""."", ""\u0120The"", ""\u0120country"", ""\u0120was""]","[33024, 8788, 6323, 572, 264, 27185, 3146, 13, 576, 3146, 572]"
city_Paris_into_Tokyo,Paris,Tokyo,city,Everyone knows Paris was a celebrated city. The city was,Everyone knows Tokyo was a celebrated city. The city was,11,12095,26194,ĠParis,ĠTokyo,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Paris"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[33024, 8788, 12095, 572, 264, 27185, 3283, 13, 576, 3283, 572]"
city_Tokyo_into_Paris,Tokyo,Paris,city,Everyone knows Tokyo was a celebrated city. The city was,Everyone knows Paris was a celebrated city. The city was,11,26194,12095,ĠTokyo,ĠParis,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Tokyo"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120city"", ""."", ""\u0120The"", ""\u0120city"", ""\u0120was""]","[33024, 8788, 26194, 572, 264, 27185, 3283, 13, 576, 3283, 572]"
company_Google_into_Apple,Google,Apple,company,Everyone knows Google was a celebrated company. The company was,Everyone knows Apple was a celebrated company. The company was,11,5085,8162,ĠGoogle,ĠApple,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Google"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120company"", ""."", ""\u0120The"", ""\u0120company"", ""\u0120was""]","[33024, 8788, 5085, 572, 264, 27185, 2813, 13, 576, 2813, 572]"
company_Apple_into_Google,Apple,Google,company,Everyone knows Apple was a celebrated company. The company was,Everyone knows Google was a celebrated company. The company was,11,8162,5085,ĠApple,ĠGoogle,[2],[6],[9],[10],"[""Everyone"", ""\u0120knows"", ""\u0120Apple"", ""\u0120was"", ""\u0120a"", ""\u0120celebrated"", ""\u0120company"", ""."", ""\u0120The"", ""\u0120company"", ""\u0120was""]","[33024, 8788, 8162, 572, 264, 27185, 2813, 13, 576, 2813, 572]"
