layer,head,effect,ci95_low,ci95_high,dominant_source_positions
24,26,0.14875619552712435,0.08838004098483038,0.21749805756165433,"P02 (0.1227), P09 (0.0055), P06 (0.0045)"
26,20,0.09636770857277545,0.07150558676693797,0.11735119222567145,"P02 (0.0750), P03 (0.0074), P04 (0.0053)"
23,10,0.06918865069582067,0.055539333503632944,0.08240077721191852,"P02 (0.0428), P04 (0.0126), P08 (0.0056)"
24,16,0.03365005997377535,0.019059718989594736,0.048821738668721706,"P02 (0.0238), P04 (0.0031), P09 (0.0031)"
26,22,0.021842336559731966,0.013734685663532165,0.029701936573990003,"P02 (0.0189), P03 (0.0031), P09 (0.0029)"
24,19,0.02021135805137983,0.015736302408651613,0.025464657837067833,"P02 (0.0090), P10 (0.0050), P06 (0.0046)"
26,23,0.01980910812670937,0.008900314529220788,0.031167656733899277,"P02 (0.0143), P04 (0.0057), P05 (0.0037)"
24,31,0.016080889447743413,0.008580959522378051,0.023580819373108776,"P02 (0.0082), P03 (0.0054), P05 (0.0047)"
23,11,0.012102037683565561,0.008934837351948742,0.01557910279965732,"P05 (0.0038), P00 (0.0035), P08 (0.0035)"
25,26,0.0110307801933203,0.007743560787039058,0.015174654701616316,"P02 (0.0059), P09 (0.0030), P04 (0.0029)"
24,30,0.010395680407231371,0.005005526050834157,0.016389114138256503,"P02 (0.0046), P07 (0.0031), P00 (0.0022)"
26,24,0.010096440021721985,0.0029127233265625243,0.01564904093883418,"P02 (0.0087), P10 (0.0048), P05 (0.0041)"
26,19,0.0093352394894535,0.005496056688940328,0.013639033708891966,"P02 (0.0078), P09 (0.0031), P05 (0.0026)"
24,29,0.007453375204058642,0.0016558914378248723,0.01199652440799688,"P05 (0.0045), P02 (0.0037), P00 (0.0017)"
26,31,0.007250098916711018,0.0015632200863731631,0.013119709547698664,"P02 (0.0059), P06 (0.0031), P03 (0.0021)"
23,30,0.00667660068645123,0.0006542693040655008,0.014053536901278066,"P02 (0.0066), P04 (0.0026), P09 (0.0025)"
24,13,0.006599859888752557,0.0033172245553359774,0.009810125548704014,"P02 (0.0050), P04 (0.0033), P00 (0.0031)"
24,5,0.005403755214223308,0.0027204241071428527,0.007988124195327332,"P02 (0.0042), P10 (0.0025), P04 (0.0025)"
26,7,0.005232024034847415,0.0016483703117534606,0.00878487373275501,"P02 (0.0042), P08 (0.0025), P09 (0.0024)"
24,17,0.005057843595721324,0.0013798183473623462,0.008013878635800331,"P06 (0.0030), P01 (0.0026), P03 (0.0026)"
