placement,filler_family,target_added_tokens,actual_added_tokens,P_subject_mean,P_readout_mean,subject_to_readout_distance_mean,stable_crossover_layer,steepest_subject_decline_layer,steepest_readout_increase_layer,strongest_attention_transfer_layer,subject_recovery_auc,readout_recovery_auc,post_subject_recovery_auc,intermediate_recovery_auc,intermediate_peak_recovery
gap,cards,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
gap,cards,8,10,2.0,20.0,18.0,27.0,24,24,24,24.74014921992356,6.423846095721546,10.189313421046943,3.6782507449101676,0.20909874938089412
gap,cards,32,29,2.0,39.0,37.0,31.0,34,34,34,26.81241677421612,4.644711732221971,8.165647993163292,3.3863908328517724,0.1811648523430643
gap,cards,64,68,2.0,78.0,76.0,31.0,34,34,34,27.33402131519361,4.38486581489428,7.697401889641079,3.275966230076254,0.18715229700496733
gap,cards,128,126,2.0,136.0,134.0,33.0,34,34,34,28.78825150808408,3.8073910985371384,6.174559582393202,2.1737996600450864,0.13230780478189988
gap,meadow,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
gap,meadow,8,8,2.0,18.0,16.0,31.0,34,34,34,27.166621931156463,4.9223332248786935,7.8587702235942425,2.934155956648934,0.193756083983863
gap,meadow,32,35,2.0,45.0,43.0,31.0,34,34,34,27.025564443510092,4.952763776397537,7.928434114357124,2.9526777572647975,0.16935639198311445
gap,meadow,64,69,2.0,79.0,77.0,31.0,34,34,34,27.39441111810806,4.588714063617433,7.582724438235354,2.8682265439990084,0.15748961612084733
gap,meadow,128,125,2.0,135.0,133.0,32.0,34,34,34,28.665643368578007,4.1600337649412396,6.319538120491637,2.0785799673551666,0.12960236386312177
gap,room,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
gap,room,8,8,2.0,18.0,16.0,27.0,24,24,24,24.979680752788884,6.52142931596255,9.969984738049096,3.4454908667332464,0.19178796975684226
gap,room,32,28,2.0,38.0,36.0,31.0,34,34,34,27.319945237465507,4.515344761470416,7.647481557327596,3.051458357697384,0.1710220531874305
gap,room,64,66,2.0,76.0,74.0,32.0,34,34,34,28.401897029723447,4.072895504801892,6.591174467721624,2.5533671777778375,0.16059596706234291
gap,room,128,127,2.0,137.0,135.0,33.0,34,34,34,29.062895846734026,3.6309200633426526,5.915007174033212,2.200981456418566,0.12397946849749564
prefix,cards,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
prefix,cards,8,10,12.0,20.0,8.0,26.0,24,24,24,25.15263721788699,6.929613598775948,9.86422080791713,2.8787247841734147,0.2035457587002828
prefix,cards,32,29,31.0,39.0,8.0,26.0,24,24,24,24.47308870493201,7.329061342406922,10.547270042152071,3.186619332994008,0.25197758167628326
prefix,cards,64,68,70.0,78.0,8.0,26.0,24,24,24,24.068339613846373,7.668381342957829,10.87691117958528,3.1484649748990527,0.2527202740253535
prefix,cards,128,126,128.0,136.0,8.0,24.0,24,24,24,23.505969260518928,8.180049291754587,11.52002552430758,3.209073576361418,0.27161224738926765
prefix,meadow,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
prefix,meadow,8,8,10.0,18.0,8.0,31.0,34,34,34,26.787409540499038,5.341615073940021,8.217925654192635,2.7116706171456064,0.1884294260917893
prefix,meadow,32,35,37.0,45.0,8.0,26.0,24,24,24,23.63851106435494,7.790058226661774,11.354348041787155,3.398805084606182,0.2786381960253955
prefix,meadow,64,69,71.0,79.0,8.0,26.0,24,24,24,24.32259679171743,7.344052451786646,10.650805348472915,3.1356456924475458,0.23319768685798176
prefix,meadow,128,125,127.0,135.0,8.0,26.0,24,24,24,23.921881175758486,7.6789749344820155,11.116472524939926,3.2942432379473425,0.24733047701809996
prefix,room,0,0,2.0,10.0,8.0,26.0,24,24,24,23.673126447957,7.963385957823552,11.330728251359337,3.1270039818841333,0.2425262637536529
prefix,room,8,8,10.0,18.0,8.0,27.0,24,24,31,25.281343147403486,6.3651508378679305,9.655650892804294,3.200840261025329,0.20805041902687485
prefix,room,32,28,30.0,38.0,8.0,27.0,24,24,24,25.054731300891888,6.693765312155861,9.918524151094722,3.2224039011779806,0.23180264572526438
prefix,room,64,66,68.0,76.0,8.0,26.0,24,24,26,23.750476504829283,7.973592865106331,11.275836352205342,3.2563250187089317,0.2923313529781917
prefix,room,128,127,129.0,137.0,8.0,26.0,24,26,26,22.947036942555446,8.04871225819242,12.004143862738964,4.086128064985634,0.338263009808968
